id,province_id,name_th,name_en
544,39,เมืองลำพูน,Mueang Lamphun
545,39,แม่ทา,Mae Tha
546,39,บ้านโฮ่ง,Ban Hong
547,39,ลี้,Li
548,39,ทุ่งหัวช้าง,Thung Hua Chang
549,39,ป่าซาง,Pa Sang
550,39,บ้านธิ,Ban Thi
551,39,เวียงหนองล่อง,Wiang Nong Long
552,40,เมืองลำปาง,Mueang Lampang
553,40,แม่เมาะ,Mae Mo
554,40,เกาะคา,Ko Kha
555,40,เสริมงาม,Soem Ngam
556,40,งาว,Ngao
557,40,แจ้ห่ม,Chae Hom
558,40,วังเหนือ,Wang Nuea
559,40,เถิน,Thoen
560,40,แม่พริก,Mae Phrik
561,40,แม่ทะ,Mae Tha
562,40,สบปราบ,Sop Prap
563,40,ห้างฉัตร,Hang Chat
564,40,เมืองปาน,Mueang Pan
565,41,เมืองอุตรดิตถ์,Mueang Uttaradit
566,41,ตรอน,Tron
567,41,ท่าปลา,Tha Pla
568,41,น้ำปาด,Nam Pat
569,41,ฟากท่า,Fak Tha
570,41,บ้านโคก,Ban Khok
571,41,พิชัย,Phichai
572,41,ลับแล,Laplae
573,41,ทองแสนขัน,Thong Saen Khan
574,42,เมืองแพร่,Mueang Phrae
575,42,ร้องกวาง,Rong Kwang
576,42,ลอง,Long
577,42,สูงเม่น,Sung Men
578,42,เด่นชัย,Den Chai
579,42,สอง,Song
580,42,วังชิ้น,Wang Chin
581,42,หนองม่วงไข่,Nong Muang Khai
582,43,เมืองน่าน,Mueang Nan
583,43,แม่จริม,Mae Charim
584,43,บ้านหลวง,Ban Luang
585,43,นาน้อย,Na Noi
586,43,ปัว,Pua
587,43,ท่าวังผา,Tha Wang Pha
588,43,เวียงสา,Wiang Sa
589,43,ทุ่งช้าง,Thung Chang
590,43,เชียงกลาง,Chiang Klang
591,43,นาหมื่น,Na Muen
592,43,สันติสุข,Santi Suk
593,43,บ่อเกลือ,Bo Kluea
594,43,สองแคว,Song Khwae
595,43,ภูเพียง,Phu Phiang
